时间,区域,数量
2015/4/1 21:00,D,59308
2015/4/2 0:00,D,28813
2015/4/2 0:00,D,28163
2015/4/2 3:00,D,41392
2015/4/2 6:00,D,38161
2015/4/2 9:00,D,44957
2015/4/2 12:00,D,55259
2015/4/2 15:00,D,62841
2015/4/2 18:00,D,53838
2015/4/2 21:00,D,54363
2015/4/3 0:00,D,25759
2015/4/3 0:00,D,27674
2015/4/3 3:00,D,39824
2015/4/3 6:00,D,41670
2015/4/3 9:00,D,52832
2015/4/3 12:00,D,64002
2015/4/3 15:00,D,65606
2015/4/3 18:00,D,59886
2015/4/3 21:00,D,52684
2015/4/4 0:00,D,28138
2015/4/4 0:00,D,27603
2015/4/4 3:00,D,40528
2015/4/4 6:00,D,36208
2015/4/4 9:00,D,47230
2015/4/4 12:00,D,54199
2015/4/4 15:00,D,55943
2015/4/4 18:00,D,53491
2015/4/4 21:00,D,49054
2015/4/5 0:00,D,24225
2015/4/5 0:00,D,23234
2015/4/5 3:00,D,38679
2015/4/5 6:00,D,33532
2015/4/5 9:00,D,45381
2015/4/5 12:00,D,55777
2015/4/5 15:00,D,54796
2015/4/5 18:00,D,48753
2015/4/5 21:00,D,49247
2015/4/6 0:00,D,26147
2015/4/6 0:00,D,22806
2015/4/6 3:00,D,36615
2015/4/6 6:00,D,31668
2015/4/6 9:00,D,50760
2015/4/6 12:00,D,59163
2015/4/6 15:00,D,60072
2015/4/6 18:00,D,47032
2015/4/6 21:00,D,49458
2015/4/7 0:00,D,25781
2015/4/7 0:00,D,22968
2015/4/7 3:00,D,38620
2015/4/7 6:00,D,40584
2015/4/7 9:00,D,47394
2015/4/7 12:00,D,71647
2015/4/7 15:00,D,58722
2015/4/7 18:00,D,53277
2015/4/7 21:00,D,57238
